Year;GP;Aston Martin;Ferrari;McLaren;Mercedes;Red Bull Racing
2021;Dutch Grand Prix;-0.6737045904956134;-0.12532061194457347;0.3202226300547325;-0.6384975405962044;-0.49593093419017276
2021;Emilia Romagna Grand Prix;-0.6302285329253354;-0.7991003152825967;-0.6420658918525365;-0.5774573755271383;-0.4234216600394015
2021;French Grand Prix;-0.9065169998868291;-0.412276283106455;-0.8492738718889876;-0.44854521930523356;-0.7994788832991779
2021;Hungarian Grand Prix;;-0.016087866571034132;-0.24618036633635895;-0.4987763562439452;-0.2531120617619047
2021;Italian Grand Prix;-0.6894280935530975;-0.6046709287683273;-0.6834354377907502;-0.6855178795965131;-0.7522715419613575
2021;Mexico City Grand Prix;-0.7770296194425587;-0.7541806760158265;-0.769936754259333;-0.5563322919273781;-0.6873051917012168
2021;Monaco Grand Prix;-0.6172626364696208;-0.6230213050665032;-0.44540420012481646;-0.5427442818876965;-0.6937416887082741
2021;Portuguese Grand Prix;-0.7480828937615454;-0.6947397416420558;-0.8824643975859345;-0.8276240683863522;-0.7740355356368366
2021;Qatar Grand Prix;-0.7227015041760356;-0.5468504462958523;-0.4114473996100277;-0.9306965691792146;-0.8216543724849189
2021;Russian Grand Prix;-0.6968652453236046;-0.8315634162167319;-0.768400094865257;-0.7009750596917383;-0.7957657816387272
2021;Saudi Arabian Grand Prix;-0.8984910187857119;-0.7817786074722703;-0.8352011647251005;-0.5278873515566544;-0.4320730917817764
2021;Spanish Grand Prix;-0.10879556314617922;-0.6585050517763483;-0.6553217395504989;-0.7197059407279438;-0.5919021763506102
2021;Styrian Grand Prix;-0.7791690475251949;-0.8480937154995479;-0.7860486970518115;-0.5096186969986374;-0.757120992823622
2021;São Paulo Grand Prix;-0.8738761691421909;-0.8781726092949356;-0.5938814239846861;-0.7267608599641961;-0.6402377579549763
2021;Turkish Grand Prix;-0.6102302610429069;-0.3197201021201817;-0.5135630519013427;-0.2979238203939091;-0.3578427143140291
2021;United States Grand Prix;-0.7805466039463796;-0.572647980095015;-0.7723860621268405;-0.6428707518753991;-0.6659735520115658
2022;Australian Grand Prix;-0.7375273822220572;-0.8583504105848262;-0.8464252736745707;-0.9392919816504146;-0.9055355776513929
2022;Austrian Grand Prix;-0.8102117666502808;-0.7260206512897133;-0.6618687560503543;-0.8122883684953743;-0.663612722192987
2022;Azerbaijan Grand Prix;-0.8054947623856977;;-0.8578569755860713;-0.8018105782319951;-0.7065824493524671
2022;Bahrain Grand Prix;-0.5807767929624756;-0.8107096179204539;-0.5397371609117416;-0.826370004698502;
2022;Belgian Grand Prix;-0.6321267842734929;-0.6507699535761575;-0.4992758777970924;-0.7055249060257617;-0.5096127837519683
2022;British Grand Prix;-0.9074164077400884;-0.8783110838699209;-0.7524185237908567;-0.8572614374864749;-0.6062042201449521
2022;Canadian Grand Prix;-0.5610634300007157;-0.7405311655214639;-0.5788927142376132;-0.8748583612889236;-0.8492117669939476
2022;Dutch Grand Prix;-0.8061266769909631;-0.7618262971543889;-0.8001527225423126;-0.8344752134582164;-0.7540236015493814
2022;Emilia Romagna Grand Prix;-0.47154839829299755;-0.8958898981263478;-0.6639951557486808;-0.5816514622542892;-0.681290030985908
2022;French Grand Prix;-0.6656033800384423;-0.907389452047808;-0.6582044502575347;-0.5448356333456484;-0.4728902017199681
2022;Hungarian Grand Prix;-0.6545853998953195;-0.4310696593744312;-0.298551697323579;-0.4875720844494499;-0.676638704324124
2022;Italian Grand Prix;;-0.5816140141307465;-0.7331503905049206;-0.5121003194895447;-0.515757006400815
2022;Japanese Grand Prix;0.053120749950767286;0.5185910704123722;0.5261927986529548;0.3592668320734665;0.5821449642300809
2022;Mexico City Grand Prix;-0.6964663663277245;-0.5621782417837913;-0.694134202171721;-0.6392237941653356;-0.5131394415455842
2022;Miami Grand Prix;-0.821207602634451;-0.8492276596784916;-0.8553018574062073;-0.7858969833402343;-0.7871998565535121
2022;Monaco Grand Prix;-0.7130441699487309;0.3186095485788563;-0.4535656851418295;0.18750871343500858;0.3261212143109886
2022;Saudi Arabian Grand Prix;-0.8852189888566079;-0.8244400994598189;-0.9143322618887456;-0.8040774222082349;-0.8308379370966529
2022;Singapore Grand Prix;-0.6146792461782795;-0.807418293484454;-0.5268742289540673;-0.4280750839698219;-0.6099848362936225
2022;Spanish Grand Prix;-0.5177111454300313;-0.5568067016670653;-0.6383440936204833;-0.6069603728377744;-0.7094336645924713
2022;São Paulo Grand Prix;-0.7357839483329551;-0.7813163231159226;;-0.8440102451368807;-0.6755826786155379
2022;United States Grand Prix;-0.7552395273622652;-0.8938650739897901;-0.8153782975104371;-0.7977482422413679;-0.8213148932357183
2023;Australian Grand Prix;-0.9204103836938154;-0.9311402629956715;-0.8805990870278053;-0.9153632221109081;-0.9084785782352264
2023;Austrian Grand Prix;-0.846572262078583;-0.5231194707731839;-0.45388992147143287;-0.7260265721517373;-0.7322946965018471
2023;Azerbaijan Grand Prix;-0.869423225449228;-0.8750780023136021;-0.8624561228843125;-0.854451737509381;-0.8542525487865829
2023;Bahrain Grand Prix;-0.7973177435114074;-0.6980594181495476;-0.7507182900023871;-0.7518566957800584;-0.7567614191036469
2023;Belgian Grand Prix;-0.7007274848354281;-0.5849884452233947;-0.6226839766186637;-0.689519573456859;-0.7467233772357422
2023;British Grand Prix;-0.8661704819333017;-0.8080286232568548;-0.8498255176856767;-0.8643311616357916;-0.8596863287951728
2023;Canadian Grand Prix;-0.6809002201261914;-0.8539813827372834;-0.863575933699961;-0.7548903815989495;-0.7807482370048218
2023;Dutch Grand Prix;-0.7918762724387616;-0.8215704308708068;-0.7549746958430124;-0.7545110295611768;-0.8692872670278259
2023;Hungarian Grand Prix;-0.8048809678877062;-0.7385053670469696;-0.6339468606519937;-0.8532466273930915;-0.8232393812149815
2023;Italian Grand Prix;-0.20312783613582516;-0.1577575996643409;-0.4202323433899388;-0.5208700312683177;-0.2865399442004242
2023;Japanese Grand Prix;-0.23265933164165994;-0.7044809962098489;-0.7436418134675631;-0.5067522815141738;-0.6990945855464822
2023;Las Vegas Grand Prix;-0.8328620980948995;-0.8496708977874474;-0.8890845491739606;-0.8247717134862623;-0.8589519368048465
2023;Mexico City Grand Prix;;-0.7994202221790773;-0.6872759000755824;-0.5876002250177346;-0.7500280268249224
2023;Miami Grand Prix;-0.8504900704410026;-0.8330273133624669;-0.48570053350595194;-0.9174000668475069;-0.8960177740079508
2023;Monaco Grand Prix;-0.2846223019833449;-0.8053004346996738;-0.7933293454913628;-0.7180552074867239;-0.20990198897745088
2023;Qatar Grand Prix;-0.8864320306397159;-0.9162961201391138;-0.947535774375132;-0.724737520799003;-0.8193686402939918
2023;Saudi Arabian Grand Prix;-0.8904282705606433;-0.8065512463379172;-0.6308919844785443;-0.9123599321480916;-0.7967100095070345
2023;Singapore Grand Prix;-0.6417753256135529;-0.45182045602122506;-0.6557946192268518;-0.6883412050106241;-0.7348216414293306
2023;Spanish Grand Prix;-0.8854186943587954;-0.8624597575621747;-0.6686942421549438;-0.8666879554130804;-0.8539600280056944
2023;São Paulo Grand Prix;-0.8240031956313918;-0.8487918804024515;-0.7138331834359322;-0.7530540458854385;-0.8112236440746315
2023;United States Grand Prix;-0.9428779051374668;-0.8656879585620886;-0.6610885852110466;-0.8603441661662183;-0.8421152341149792
